Home Assistant notifications (Log started: 2025-12-25T10:40:36.497140+00:00)
--------------------------------------------------------------------------------
2025-12-25T13:35:05.478244+00:00 ; ESPZB1light ; OFF
2025-12-25T13:35:15.477677+00:00 ; HueWhite1549 ; ON
2025-12-25T13:35:46.475522+00:00 ; ESPZB1light ; ON
2025-12-25T13:36:06.486344+00:00 ; ESPZB2light ; OFF
2025-12-25T13:36:14.476305+00:00 ; ESPZB1light ; OFF
2025-12-25T13:36:29.478847+00:00 ; ESPZB2light ; ON
2025-12-25T13:37:28.477373+00:00 ; ESPZB2light ; OFF
2025-12-25T13:38:04.483530+00:00 ; ESPZB1light ; ON
2025-12-25T13:38:21.477418+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:38:49.478861+00:00 ; ESPZB2light ; ON
2025-12-25T13:39:52.476238+00:00 ; ESPZB1light ; OFF
2025-12-25T13:40:02.482888+00:00 ; HueWhite0475 ; ON
2025-12-25T13:40:56.477786+00:00 ; Hue9GF ; ON
2025-12-25T13:41:29.469805+00:00 ; ESPZB3light ; ON
2025-12-25T13:42:06.477840+00:00 ; ESPZB2light ; OFF
2025-12-25T13:42:09.484656+00:00 ; Hue9GF ; OFF
2025-12-25T13:42:46.478955+00:00 ; ESPZB1light ; ON
2025-12-25T13:43:07.470942+00:00 ; ESPZB1light ; OFF
2025-12-25T13:43:15.479905+00:00 ; ESPZB1light ; ON
2025-12-25T13:43:21.483052+00:00 ; ESPZB1light ; OFF
2025-12-25T13:43:34.477402+00:00 ; ESPZB1light ; ON
2025-12-25T13:44:28.480848+00:00 ; ESPZB1light ; OFF
2025-12-25T13:45:18.479444+00:00 ; Hue9L7 ; OFF
2025-12-25T13:45:21.486331+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:46:12.478720+00:00 ; ESPZB2light ; ON
2025-12-25T13:47:09.475275+00:00 ; ESPZB3light ; OFF
2025-12-25T13:47:41.479297+00:00 ; Hue9GF ; ON
2025-12-25T13:47:58.510781+00:00 ; ESPZB2light ; OFF
2025-12-25T13:48:28.478400+00:00 ; HueWhite0475 ; ON
2025-12-25T13:49:14.478635+00:00 ; Hue9GF ; OFF
2025-12-25T13:49:36.476765+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:50:07.478264+00:00 ; ESPZB2light ; ON
2025-12-25T13:50:40.476339+00:00 ; Hue9GF ; ON
2025-12-25T13:51:24.477066+00:00 ; ESPZB1light ; ON
2025-12-25T13:51:45.483569+00:00 ; ESPZB3light ; ON
2025-12-25T13:51:58.479389+00:00 ; ESPZB3light ; OFF
2025-12-25T13:52:15.479178+00:00 ; Hue9L7 ; ON
2025-12-25T13:53:02.477048+00:00 ; Hue9L7 ; OFF
2025-12-25T13:53:59.478058+00:00 ; Hue9GF ; OFF
2025-12-25T13:54:00.478912+00:00 ; ESPZB2light ; OFF
2025-12-25T13:54:04.479242+00:00 ; Hue9L7 ; ON
2025-12-25T13:54:28.477427+00:00 ; ESPZB1light ; OFF
2025-12-25T13:55:26.485008+00:00 ; ESPZB3light ; ON
2025-12-25T13:55:58.478008+00:00 ; Hue9GF ; ON
2025-12-25T13:56:30.477862+00:00 ; ESPZB2light ; ON
2025-12-25T13:56:40.479228+00:00 ; ESPZB1light ; ON
2025-12-25T13:57:30.484491+00:00 ; ESPZB2light ; OFF
2025-12-25T13:58:04.476747+00:00 ; ESPZB2light ; ON
2025-12-25T13:58:05.477686+00:00 ; Hue9GF ; OFF
2025-12-25T13:58:20.478467+00:00 ; ESPZB2light ; OFF
2025-12-25T13:59:44.485039+00:00 ; Hue9GF ; ON
2025-12-25T14:00:25.470837+00:00 ; ESPZB1light ; OFF
2025-12-25T14:01:00.476666+00:00 ; HueWhite1549 ; OFF
2025-12-25T14:01:04.484810+00:00 ; HueWhite1549 ; ON
2025-12-25T14:01:41.478533+00:00 ; HueWhite1549 ; OFF
2025-12-25T14:02:29.477749+00:00 ; Hue9L7 ; OFF
2025-12-25T14:02:45.482898+00:00 ; Hue9L7 ; ON
2025-12-25T14:03:29.477694+00:00 ; ESPZB3light ; OFF
2025-12-25T14:04:00.477954+00:00 ; Hue9GF ; OFF
2025-12-25T14:04:20.486275+00:00 ; ESPZB3light ; ON
2025-12-25T14:04:38.478214+00:00 ; ESPZB2light ; ON
