Timestamp,Device,Command
2025-12-23T16:21:05.128222+00:00,ESPZB1light,OFF
2025-12-23T16:22:44.131616+00:00,HueWhite1549,OFF
2025-12-23T16:23:22.128860+00:00,HueWhite1549,ON
2025-12-23T16:24:16.128804+00:00,ESPZB1light,ON
2025-12-23T16:25:16.129338+00:00,ESPZB1light,OFF
2025-12-23T16:25:17.128164+00:00,ESPZB3light,ON
2025-12-23T16:25:43.128198+00:00,HueWhite1549,OFF
2025-12-23T16:26:10.129106+00:00,HueWhite1549,ON
2025-12-23T16:26:54.128648+00:00,Hue9L7,ON
2025-12-23T16:27:08.139355+00:00,HueWhite1549,OFF
2025-12-23T16:27:08.139501+00:00,Hue9L7,OFF
2025-12-23T16:27:26.128824+00:00,HueWhite0475,OFF
2025-12-23T16:28:21.128788+00:00,Hue9GF,ON
2025-12-23T16:28:23.128744+00:00,HueWhite0475,ON
2025-12-23T16:28:54.128300+00:00,Hue9L7,ON
2025-12-23T16:29:22.129121+00:00,Hue9L7,OFF
2025-12-23T16:29:51.136851+00:00,ESPZB1light,ON
2025-12-23T16:30:15.126635+00:00,ESPZB1light,OFF
2025-12-23T16:30:44.129051+00:00,ESPZB1light,ON
2025-12-23T16:31:06.129860+00:00,ESPZB1light,OFF
2025-12-23T16:31:46.135377+00:00,HueWhite1549,ON
2025-12-23T16:32:54.128590+00:00,ESPZB2light,OFF
2025-12-23T16:34:44.129698+00:00,ESPZB1light,ON
2025-12-23T16:34:59.135783+00:00,ESPZB2light,ON
2025-12-23T16:35:08.128784+00:00,HueWhite1549,OFF
2025-12-23T16:35:51.129621+00:00,HueWhite0475,OFF
2025-12-23T16:36:20.126797+00:00,ESPZB1light,OFF
2025-12-23T16:37:08.127991+00:00,HueWhite0475,ON
2025-12-23T16:38:31.128357+00:00,ESPZB1light,ON
2025-12-23T16:39:42.135805+00:00,ESPZB2light,OFF
2025-12-23T16:40:11.128802+00:00,HueWhite1549,ON
2025-12-23T16:40:53.128071+00:00,HueWhite1549,OFF
2025-12-23T16:40:58.128374+00:00,ESPZB2light,ON
2025-12-23T16:41:13.134558+00:00,ESPZB2light,OFF
2025-12-23T16:41:33.127786+00:00,ESPZB3light,OFF
2025-12-23T16:41:54.128118+00:00,Hue9L7,ON
2025-12-23T16:41:57.122167+00:00,ESPZB1light,OFF
2025-12-23T16:42:46.134793+00:00,ESPZB3light,ON
2025-12-23T16:43:15.128465+00:00,ESPZB3light,OFF
2025-12-23T16:43:39.128279+00:00,ESPZB1light,ON
2025-12-23T16:43:41.149823+00:00,ESPZB2light,ON
2025-12-23T16:43:41.150373+00:00,Hue9L7,OFF
2025-12-23T16:44:58.129200+00:00,HueWhite0475,OFF
2025-12-23T16:45:17.128877+00:00,ESPZB2light,OFF
2025-12-23T16:45:29.134278+00:00,ESPZB2light,ON
2025-12-23T16:46:13.128996+00:00,Hue9L7,ON
2025-12-23T16:46:31.128740+00:00,HueWhite1549,ON
2025-12-23T16:47:38.129437+00:00,HueWhite1549,OFF
2025-12-23T16:48:25.128023+00:00,Hue9GF,OFF
2025-12-23T16:49:18.127779+00:00,Hue9GF,ON
2025-12-23T16:49:21.127607+00:00,Hue9L7,OFF
2025-12-23T16:49:26.141862+00:00,ESPZB2light,OFF
2025-12-23T16:49:47.128721+00:00,ESPZB2light,ON
2025-12-23T16:50:05.121942+00:00,Hue9GF,OFF
2025-12-23T16:50:27.130139+00:00,Hue9L7,ON
2025-12-23T16:51:20.713131+00:00,ESPZB1light,OFF
2025-12-23T16:51:58.128542+00:00,ESPZB1light,ON
2025-12-23T16:52:09.739954+00:00,Hue9GF,ON
2025-12-23T16:52:35.134252+00:00,HueWhite1549,ON
2025-12-23T16:52:44.129752+00:00,ESPZB3light,ON
2025-12-23T16:53:16.129479+00:00,HueWhite1549,OFF
2025-12-23T16:53:55.121323+00:00,HueWhite1549,ON
2025-12-23T16:54:30.135315+00:00,HueWhite0475,ON
2025-12-23T16:55:05.128573+00:00,Hue9GF,OFF
2025-12-23T16:55:39.129206+00:00,Hue9L7,OFF
2025-12-23T16:55:56.127850+00:00,HueWhite1549,OFF
2025-12-23T16:56:23.135192+00:00,ESPZB3light,OFF
2025-12-23T16:56:52.127984+00:00,HueWhite0475,OFF
2025-12-23T16:56:59.128190+00:00,HueWhite1549,ON
2025-12-23T16:57:25.121809+00:00,ESPZB2light,OFF
2025-12-23T16:58:01.135286+00:00,HueWhite0475,ON
2025-12-23T16:58:15.128607+00:00,ESPZB3light,ON
2025-12-23T16:58:33.129444+00:00,ESPZB1light,OFF
2025-12-23T16:59:17.128162+00:00,ESPZB3light,OFF
2025-12-23T16:59:20.128662+00:00,Hue9GF,ON
2025-12-23T17:00:18.130533+00:00,HueWhite1549,OFF
2025-12-23T17:00:50.128468+00:00,HueWhite0475,OFF
2025-12-23T17:02:23.136247+00:00,HueWhite1549,ON
2025-12-23T17:03:09.129588+00:00,Hue9GF,OFF
2025-12-23T17:03:53.126172+00:00,HueWhite1549,OFF
2025-12-23T17:03:59.129499+00:00,ESPZB1light,ON
2025-12-23T17:04:36.129382+00:00,ESPZB2light,ON
2025-12-23T17:05:32.137489+00:00,ESPZB2light,OFF
2025-12-23T17:05:42.127867+00:00,ESPZB2light,ON
2025-12-23T17:05:52.127653+00:00,ESPZB2light,OFF
2025-12-23T17:06:34.122571+00:00,ESPZB1light,OFF
2025-12-23T17:06:43.128319+00:00,ESPZB2light,ON
2025-12-23T17:08:01.135506+00:00,HueWhite0475,ON
2025-12-23T17:08:54.129093+00:00,ESPZB2light,OFF
2025-12-23T17:09:16.129452+00:00,ESPZB2light,ON
2025-12-23T17:10:05.127863+00:00,HueWhite1549,ON
2025-12-23T17:10:42.134862+00:00,Hue9L7,ON
2025-12-23T17:11:17.125890+00:00,Hue9GF,ON
2025-12-23T17:11:26.147609+00:00,ESPZB2light,OFF
2025-12-23T17:11:26.149186+00:00,ESPZB2light,OFF
2025-12-23T17:12:25.121635+00:00,HueWhite1549,OFF
2025-12-23T17:13:17.127290+00:00,ESPZB3light,ON
2025-12-23T17:13:29.136086+00:00,ESPZB1light,ON
2025-12-23T17:13:52.128266+00:00,ESPZB1light,OFF
2025-12-23T17:14:04.129591+00:00,HueWhite0475,OFF
2025-12-23T17:14:28.129006+00:00,ESPZB2light,ON
2025-12-23T17:15:12.136011+00:00,HueWhite1549,ON
2025-12-23T17:15:46.126655+00:00,Hue9GF,OFF
2025-12-23T17:16:36.122643+00:00,HueWhite0475,ON
2025-12-23T17:17:02.132928+00:00,ESPZB3light,OFF
2025-12-23T17:17:10.129219+00:00,Hue9L7,OFF
2025-12-23T17:17:15.126560+00:00,ESPZB2light,OFF
2025-12-23T17:18:10.131880+00:00,HueWhite0475,OFF
2025-12-23T17:18:34.137458+00:00,ESPZB3light,ON
2025-12-23T17:18:58.128087+00:00,Hue9GF,ON
2025-12-23T17:19:27.125883+00:00,HueWhite1549,OFF
2025-12-23T17:19:47.128901+00:00,HueWhite0475,ON
2025-12-23T17:20:25.135084+00:00,Hue9GF,OFF
