Home Assistant notifications (Log started: 2025-12-24T10:35:32.530654+00:00)
--------------------------------------------------------------------------------
2025-12-24T12:22:27.515879+00:00 ; ESPZB1light ; ON
2025-12-24T12:22:46.522070+00:00 ; HueWhite1549 ; ON
2025-12-24T12:23:45.515483+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:24:18.513550+00:00 ; ESPZB1light ; OFF
2025-12-24T12:24:35.522031+00:00 ; ESPZB1light ; ON
2025-12-24T12:25:19.515187+00:00 ; HueWhite0475 ; ON
2025-12-24T12:26:10.513179+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:27:05.523861+00:00 ; ESPZB2light ; ON
2025-12-24T12:27:18.513476+00:00 ; ESPZB3light ; ON
2025-12-24T12:27:37.507804+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:28:27.523010+00:00 ; Hue9GF ; ON
2025-12-24T12:28:35.515869+00:00 ; Hue9L7 ; ON
2025-12-24T12:29:08.513118+00:00 ; ESPZB3light ; OFF
2025-12-24T12:29:16.523841+00:00 ; HueWhite0475 ; ON
2025-12-24T12:29:56.522561+00:00 ; Hue9L7 ; OFF
2025-12-24T12:30:05.516367+00:00 ; HueWhite1549 ; ON
2025-12-24T12:30:19.516189+00:00 ; ESPZB1light ; OFF
2025-12-24T12:30:42.518219+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:32:00.524361+00:00 ; Hue9L7 ; ON
2025-12-24T12:32:11.518940+00:00 ; ESPZB2light ; OFF
2025-12-24T12:32:39.513297+00:00 ; Hue9GF ; OFF
2025-12-24T12:33:34.514772+00:00 ; ESPZB1light ; ON
2025-12-24T12:33:49.524111+00:00 ; Hue9L7 ; OFF
2025-12-24T12:34:19.515500+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:34:48.515545+00:00 ; HueWhite0475 ; ON
2025-12-24T12:35:18.523596+00:00 ; ESPZB1light ; OFF
2025-12-24T12:36:11.515900+00:00 ; ESPZB3light ; ON
2025-12-24T12:37:08.516756+00:00 ; HueWhite1549 ; ON
2025-12-24T12:37:19.521664+00:00 ; ESPZB3light ; OFF
2025-12-24T12:37:42.509152+00:00 ; Hue9L7 ; ON
2025-12-24T12:38:20.515931+00:00 ; Hue9GF ; ON
2025-12-24T12:38:31.515649+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:38:34.531235+00:00 ; ESPZB2light ; ON
2025-12-24T12:39:03.517117+00:00 ; ESPZB1light ; ON
2025-12-24T12:39:40.510321+00:00 ; HueWhite0475 ; ON
2025-12-24T12:40:03.514561+00:00 ; ESPZB1light ; OFF
2025-12-24T12:40:46.516677+00:00 ; ESPZB1light ; ON
2025-12-24T12:40:57.514328+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:41:40.519002+00:00 ; ESPZB3light ; ON
2025-12-24T12:42:01.515896+00:00 ; ESPZB2light ; OFF
2025-12-24T12:42:03.522996+00:00 ; ESPZB3light ; OFF
2025-12-24T12:42:33.517298+00:00 ; HueWhite1549 ; ON
2025-12-24T12:42:53.515967+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:43:24.517257+00:00 ; Hue9GF ; OFF
2025-12-24T12:43:36.507291+00:00 ; Hue9L7 ; OFF
2025-12-24T12:44:45.515875+00:00 ; HueWhite0475 ; ON
2025-12-24T12:45:25.519726+00:00 ; ESPZB3light ; ON
2025-12-24T12:46:30.524950+00:00 ; ESPZB2light ; ON
2025-12-24T12:49:25.518009+00:00 ; Hue9L7 ; ON
2025-12-24T12:49:36.513756+00:00 ; Hue9L7 ; OFF
2025-12-24T12:50:22.524019+00:00 ; ESPZB3light ; OFF
2025-12-24T12:51:11.517842+00:00 ; ESPZB2light ; OFF
2025-12-24T12:51:14.516127+00:00 ; ESPZB3light ; ON
2025-12-24T12:52:21.521322+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:52:26.516646+00:00 ; HueWhite0475 ; ON
2025-12-24T12:53:28.516707+00:00 ; ESPZB1light ; OFF
2025-12-24T12:53:35.516029+00:00 ; ESPZB3light ; OFF
2025-12-24T12:54:35.522891+00:00 ; ESPZB1light ; ON
2025-12-24T12:55:25.522104+00:00 ; ESPZB1light ; OFF
2025-12-24T12:55:25.532252+00:00 ; Hue9GF ; ON
2025-12-24T12:57:25.549289+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:57:35.507087+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:57:42.512293+00:00 ; HueWhite0475 ; ON
2025-12-24T12:59:32.522070+00:00 ; ESPZB2light ; ON
2025-12-24T12:59:49.516277+00:00 ; Hue9L7 ; ON
2025-12-24T12:59:53.516733+00:00 ; HueWhite0475 ; OFF
2025-12-24T13:00:20.516362+00:00 ; ESPZB3light ; ON
2025-12-24T13:01:38.522973+00:00 ; ESPZB1light ; ON
2025-12-24T13:01:43.517976+00:00 ; HueWhite1549 ; ON
2025-12-24T13:02:58.516093+00:00 ; HueWhite0475 ; ON
2025-12-24T13:03:55.517714+00:00 ; HueWhite0475 ; OFF
2025-12-24T13:04:34.524036+00:00 ; ESPZB1light ; OFF
2025-12-24T13:05:22.515670+00:00 ; ESPZB1light ; ON
2025-12-24T13:05:33.513416+00:00 ; Hue9L7 ; OFF
2025-12-24T13:06:10.516371+00:00 ; Hue9GF ; OFF
2025-12-24T13:06:58.507770+00:00 ; ESPZB1light ; OFF
2025-12-24T13:06:59.517280+00:00 ; ESPZB1light ; ON
2025-12-24T13:07:03.515900+00:00 ; ESPZB3light ; OFF
2025-12-24T13:07:33.520153+00:00 ; ESPZB1light ; OFF
2025-12-24T13:08:14.515159+00:00 ; HueWhite1549 ; OFF
2025-12-24T13:08:24.519503+00:00 ; Hue9GF ; ON
2025-12-24T13:09:18.517200+00:00 ; ESPZB3light ; ON
2025-12-24T13:09:23.521942+00:00 ; ESPZB3light ; OFF
2025-12-24T13:09:50.517464+00:00 ; Hue9L7 ; ON
2025-12-24T13:10:26.509051+00:00 ; Hue9GF ; OFF
2025-12-24T13:10:34.516592+00:00 ; ESPZB1light ; ON
