Timestamp,Device,Command
2025-12-21T18:26:40.185543+00:00,HueWhite1549,ON
2025-12-21T18:28:13.192786+00:00,HueWhite1549,OFF
2025-12-21T18:28:40.185417+00:00,ESP1light,OFF
2025-12-21T18:29:17.183705+00:00,ESP1light,ON
2025-12-21T18:30:38.184532+00:00,HueWhite0475,OFF
2025-12-21T18:30:45.198678+00:00,ESP2light,ON
2025-12-21T18:31:09.187273+00:00,ESP3light,OFF
2025-12-21T18:31:44.186684+00:00,ESP2light,OFF
2025-12-21T18:31:50.185717+00:00,HueWhite1549,ON
2025-12-21T18:32:16.184840+00:00,Nanoleaf1624,ON
2025-12-21T18:32:17.184235+00:00,ESP1light,OFF
2025-12-21T18:32:41.183823+00:00,ESP2light,ON
2025-12-21T18:33:57.184539+00:00,ESP3light,ON
2025-12-21T18:34:31.192992+00:00,Nanoleaf0176,ON
2025-12-21T18:35:02.186353+00:00,Nanoleaf0176,OFF
2025-12-21T18:35:08.185287+00:00,Nanoleaf0176,ON
2025-12-21T18:36:02.185492+00:00,Nanoleaf1624,OFF
2025-12-21T18:37:37.189867+00:00,ESP1light,ON
2025-12-21T18:38:19.184210+00:00,HueWhite1549,OFF
2025-12-21T18:38:29.184403+00:00,Nanoleaf1624,ON
2025-12-21T18:40:44.185001+00:00,HueWhite1549,ON
2025-12-21T18:41:27.184800+00:00,ESP3light,OFF
2025-12-21T18:41:45.186356+00:00,HueWhite1549,OFF
2025-12-21T18:41:54.185330+00:00,Nanoleaf0176,OFF
2025-12-21T18:42:09.187123+00:00,ESP1light,OFF
2025-12-21T18:42:32.192472+00:00,ESP3light,ON
2025-12-21T18:42:49.184484+00:00,ESP3light,OFF
2025-12-21T18:43:38.187740+00:00,ESP1light,ON
2025-12-21T18:44:03.184729+00:00,Nanoleaf1624,OFF
2025-12-21T18:44:04.191121+00:00,Nanoleaf1624,ON
2025-12-21T18:44:49.185775+00:00,HueWhite1549,ON
2025-12-21T18:44:56.185342+00:00,Nanoleaf0176,ON
2025-12-21T18:45:54.184360+00:00,ESP3light,ON
2025-12-21T18:47:21.185311+00:00,HueWhite1549,OFF
2025-12-21T18:48:41.195249+00:00,Nanoleaf0176,OFF
2025-12-21T18:48:49.185294+00:00,ESP1light,OFF
2025-12-21T18:49:09.184399+00:00,HueWhite0475,ON
2025-12-21T18:50:07.184973+00:00,ESP1light,ON
2025-12-21T18:50:15.184984+00:00,Nanoleaf1624,OFF
2025-12-21T18:50:51.192698+00:00,HueWhite0475,OFF
2025-12-21T18:51:07.184998+00:00,ESP2light,OFF
2025-12-21T18:51:56.186654+00:00,ESP1light,OFF
2025-12-21T18:52:40.183519+00:00,Nanoleaf1624,ON
2025-12-21T18:52:41.183395+00:00,HueWhite0475,ON
2025-12-21T18:52:46.188831+00:00,ESP1light,ON
2025-12-21T18:53:17.182852+00:00,ESP3light,OFF
2025-12-21T18:54:07.186280+00:00,ESP2light,ON
2025-12-21T18:54:48.184393+00:00,Nanoleaf0176,ON
2025-12-21T18:55:03.194453+00:00,Nanoleaf1624,OFF
2025-12-21T18:55:29.185214+00:00,HueWhite0475,OFF
2025-12-21T18:56:25.184969+00:00,ESP2light,OFF
2025-12-21T18:56:56.184011+00:00,HueWhite0475,ON
2025-12-21T18:57:02.191781+00:00,Nanoleaf1624,ON
2025-12-21T18:57:52.186551+00:00,ESP2light,ON
2025-12-21T18:58:06.187355+00:00,HueWhite0475,OFF
2025-12-21T18:58:50.183746+00:00,ESP3light,ON
2025-12-21T18:58:59.191151+00:00,ESP3light,OFF
2025-12-21T18:59:20.185407+00:00,ESP3light,ON
2025-12-21T19:00:41.185880+00:00,HueWhite0475,ON
2025-12-21T19:00:58.183157+00:00,HueWhite1549,ON
2025-12-21T19:01:16.190811+00:00,Nanoleaf1624,OFF
2025-12-21T19:02:28.184656+00:00,Nanoleaf0176,OFF
2025-12-21T19:02:31.187416+00:00,HueWhite1549,OFF
2025-12-21T19:03:04.184724+00:00,ESP1light,OFF
2025-12-21T19:03:20.188820+00:00,Nanoleaf1624,ON
2025-12-21T19:03:25.187042+00:00,ESP2light,OFF
2025-12-21T19:04:20.182402+00:00,Nanoleaf1624,OFF
2025-12-21T19:06:19.184536+00:00,Nanoleaf0176,ON
2025-12-21T19:07:29.187582+00:00,ESP2light,ON
2025-12-21T19:07:37.185435+00:00,ESP1light,ON
2025-12-21T19:08:04.184577+00:00,Nanoleaf1624,ON
2025-12-21T19:08:09.184594+00:00,ESP3light,OFF
2025-12-21T19:09:14.191551+00:00,ESP3light,ON
2025-12-21T19:09:22.182673+00:00,Nanoleaf1624,OFF
2025-12-21T19:10:13.185891+00:00,Nanoleaf1624,ON
2025-12-21T19:10:39.185296+00:00,ESP1light,OFF
